depth	min	mean	max
1	1.485960978	1.613893858	1.761408391
2	3.440265799	3.68564934	3.967171917
3	7.29619606	7.700077473	8.127073395
4	12.32959952	12.89939196	13.49719552
5	17.35190799	18.04299877	18.82304097
6	22.40315523	23.16728573	24.08265253
7	29.47829244	30.44770071	31.64535409
8	35.65455279	36.84007713	38.25889791
9	44.74109043	46.14444267	47.79000214
10	52.0240808	53.61946911	55.536296
11	55.86058192	57.67572546	59.93591145
12	69.27239569	71.568931	74.27707473
13	76.7835829	79.72454977	82.97218453
14	79.28550435	82.34026242	85.80166627
15	86.61497212	90.26129747	94.46879143
16	99.95228192	105.1931345	111.3876627
17	114.758123	122.3067986	131.4590021
18	123.7104883	132.8441545	143.8459388
19	132.4504771	142.7450796	155.5037348
20	152.2898929	170.9120813	203.1766034
21	165.3527905	188.5319333	233.0438419
22	176.04421	203.4271442	252.4712201
23	191.609026	228.1129732	281.0072885
24	202.6907967	247.8544458	301.3796855
25	211.8031745	262.0165479	316.3190551
26	220.1070406	276.2695576	330.6010013
27	229.4962769	290.8676619	348.6225955
